player_id,name,normalized_name,team,role_classic,roles_mantra,quotation_classic,quotation_mantra,fvm_classic,fvm_mantra,starts,minutes,starter_signal,set_piece_signal,injury_signal,updated_at,appearances,average_rating,fantasy_average,goals,assists,penalties_scored,penalties_taken,previous_appearances,previous_average_rating,previous_fantasy_average,previous_goals,previous_assists
fc-7314,Taylor K.,taylor k,LAZ,C,C|T,13,13,53,53,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,6.25,0,0,0,0,17.0,6.03,6.53,3.0,2.0
fc-5833,Gila,gila,MIL,D,DC,13,13,31,31,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.5,6.5,0,0,0,0,31.0,5.95,5.87,0.0,0.0
fc-4728,Nkunku,nkunku,MIL,A,A,13,14,20,20,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,26.0,5.9,6.83,7.0,3.0
fc-4317,N'Dicka,n dicka,ROM,D,DC,13,13,42,42,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,6.5,6.5,0,0,0,0,31.0,6.15,6.39,3.0,1.0
fc-5734,Soulè,soule,ROM,A,A,13,14,48,48,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,7.75,1,0,0,0,32.0,6.11,6.81,6.0,5.0
fc-5687,Vlasic,vlasic,TOR,C,T,13,12,73,73,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,5.5,5.5,0,0,0,0,37.0,6.07,6.7,8.0,3.0
fc-6956,Solet,solet,UDI,D,DC,13,13,46,46,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.25,6.25,0,0,0,0,35.0,6.26,6.47,3.0,1.0
fc-5792,Ederson D.S.,ederson d s,ATA,C,M|C,12,13,46,51,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.0,6.0,0,0,0,0,30.0,6.25,6.43,2.0,1.0
fc-4463,Esposito Se.,esposito se,SAS,A,A,12,13,40,40,0,0,,,,2026-09-05T10:50:36.537627+00:00,0,0.0,0.0,0,0,0,0,36.0,6.19,6.81,7.0,4.0
fc-6967,Diao,diao,COM,A,W|A,12,13,50,50,0,0,,,,2026-09-05T10:50:36.537627+00:00,3,6.67,9.0,2,1,0,0,16.0,5.94,6.31,2.0,1.0
fc-5800,Gudmundsson A.,gudmundsson a,LAZ,C,T|A,12,11,40,40,0,0,,,,2026-09-05T10:50:36.537627+00:00,1,4.5,4.0,0,0,0,0,32.0,5.77,6.23,5.0,3.0
fc-6217,Bisseck,bisseck,INT,D,DC,12,12,36,36,0,0,,,,2026-09-05T10:50:36.537627+00:00,2,6.75,8.25,1,0,0,0,23.0,6.2,6.63,3.0,2.0
